season_id,team_id,player_id,shirt_number,position
2023-24,2,1,1,GK
2023-24,2,2,22,GK
2023-24,2,3,31,GK
2023-24,2,4,48,GK
2023-24,2,5,52,GK
2023-24,2,6,54,GK
2023-24,2,7,82,GK
2023-24,2,8,90,GK
2023-24,2,9,91,GK
2023-24,2,10,2,DF
2023-24,2,11,4,DF
2023-24,2,12,6,DF
2023-24,2,13,12,DF
2023-24,2,14,15,DF
2023-24,2,15,17,DF
2023-24,2,16,18,DF
2023-24,2,17,35,DF
2023-24,2,18,50,DF
2023-24,2,19,60,DF
2023-24,2,20,68,DF
2023-24,2,21,70,DF
2023-24,2,22,73,DF
2023-24,2,23,76,DF
2023-24,2,24,78,DF
2023-24,2,25,79,DF
2023-24,2,26,81,DF
2023-24,2,27,87,DF
2023-24,2,28,89,DF
2023-24,2,29,92,DF
2023-24,2,30,94,DF
2023-24,2,31,98,DF
2023-24,2,32,5,MF
2023-24,2,33,7,MF
2023-24,2,34,8,MF
2023-24,2,35,10,MF
2023-24,2,36,19,MF
2023-24,2,37,20,MF
2023-24,2,38,21,MF
2023-24,2,39,25,MF
2023-24,2,40,29,MF
2023-24,2,41,39,MF
2023-24,2,42,40,MF
2023-24,2,43,41,MF
2023-24,2,44,51,MF
2023-24,2,45,53,MF
2023-24,2,46,59,MF
2023-24,2,47,63,MF
2023-24,2,48,66,MF
2023-24,2,49,83,MF
2023-24,2,50,93,MF
2023-24,2,51,95,MF
2023-24,2,52,97,MF
2023-24,2,53,99,MF
2023-24,2,54,9,FW
2023-24,2,55,11,FW
2023-24,2,56,14,FW
2023-24,2,57,24,FW
2023-24,2,58,42,FW
2023-24,2,59,45,FW
2023-24,2,60,46,FW
2023-24,2,61,75,FW
2023-24,2,62,77,FW
2023-24,2,63,80,FW
2023-24,2,64,84,FW
2023-24,2,65,85,FW
2023-24,2,66,86,FW
2023-24,2,67,88,FW
2023-24,2,68,96,FW
2023-24,3,69,1,GK
2023-24,3,70,18,GK
2023-24,3,71,25,GK
2023-24,3,72,55,GK
2023-24,3,73,64,GK
2023-24,3,74,78,GK
2023-24,3,75,2,DF
2023-24,3,76,3,DF
2023-24,3,77,4,DF
2023-24,3,78,5,DF
2023-24,3,79,12,DF
2023-24,3,80,14,DF
2023-24,3,81,15,DF
2023-24,3,82,16,DF
2023-24,3,83,17,DF
2023-24,3,84,29,DF
2023-24,3,85,44,DF
2023-24,3,86,50,DF
2023-24,3,87,52,DF
2023-24,3,88,54,DF
2023-24,3,89,60,DF
2023-24,3,90,61,DF
2023-24,3,91,63,DF
2023-24,3,92,66,DF
2023-24,3,93,69,DF
2023-24,3,94,73,DF
2023-24,3,95,79,DF
2023-24,3,96,6,MF
2023-24,3,97,7,MF
2023-24,3,98,8,MF
2023-24,3,99,10,MF
2023-24,3,100,22,MF
2023-24,3,101,27,MF
2023-24,3,102,41,MF
2023-24,3,103,47,MF
2023-24,3,104,51,MF
2023-24,3,105,53,MF
2023-24,3,106,57,MF
2023-24,3,107,62,MF
2023-24,3,108,67,MF
2023-24,3,109,70,MF
2023-24,3,110,74,MF
2023-24,3,111,75,MF
2023-24,3,112,76,MF
2023-24,3,113,77,MF
2023-24,3,114,80,MF
2023-24,3,115,11,FW
